ID_Colaborador,Departamento,Nivel,Genero,Tempo_Casa_Anos,Processos_Ativos,Horas_Extras_Mes,Satisfacao_Clima,Percentual_Bonus_Recebido,Status_Atual
45,Civil,Sênior,Feminino,5.8,20,19,4.7,19,Ativo
46,,Júnior,Não-binário,2.1,24,8,4.9,2,Ativo
47,Corporativo,Pleno,Feminino,4.7,38,,3.3,14,Ativo
48,Trabalhista,Pleno,Não-binário,3.0,43,36,2.9,10,Ativo
49,Civil,Pleno,Não-binário,"3,3",23,6,3.0,12,Ativo
50,Corporativo,Júnior,Feminino,1.9,32,18,4.1,1,Ativo
51,Civil,Jr.,Não-binário,2.3,32,6,4.7,9%,Ativo
52,Trabalhista,Pleno,Masculino,2.4,44,31,,10,Ativo
53,Corporativo,Sênior,Feminino,6.9,36,8,3.7,23,Ativo
54,Tributário,Júnior,Não-binário,1.9,22,10,5.0,2,Ativo
55,Tributário,Júnior,Feminino,0.7,25,18,4.6,3,Ativo
56,Corporativo,Júnior,Feminino,2.0,18,17,4.7,7,Ativo
57,Trabalhista,Sênior,Feminino,7.4,59,46,1.5,18,Desligado
58,TRABALHISTA,Pleno,Feminino,4.0,57,45,1.4,11,Desligado
59,Corporativo,Sênior,Masc,6.7,27,22,3.7,22,Ativo
60,Civil,Sócio,Masculino,8.4,23,6,3.2,53,Ativo
61,Corporativo,Pleno,Não-binário,"4,4",28,24,5.0,11,Ativo
62,Tributário,Júnior,Não-binário,0.7,16,18,3.0,8,Ativo
63,Trabalhista,Júnior,Masculino,1.2,45,30,3.2,,Ativo
64,Corporativo,Pleno,Não-binário,2.9,28,15,3.8,14,Ativo
65,Trabalhista,Júnior,Feminino,1.2,57,40,1.9,4,Desligado
66,Tributário,Júnior,Não-binário,2.1,24,14,3.4,9,Ativo
67,Corporativo,Júnior,Masculino,1.3,36,11,4.0,2,Ativo
68,Civil,Sócio,Masculino,11.1,35,24,3.7,47,Ativo
69,Corporativo,Pleno,Feminino,4.4,19,5,,17,Ativo
70,Civil,Pleno,Masculino,3.2,35,,3.4,16,Desligado
71,Tributário,Sócio,Masculino,9.0,35,5,4.8,43,Ativo
72,Tributário,Júnior,Feminino,0.7,37,21,3.9,8,Ativo
73,Trabalhista,Júnior,Feminino,"1,3",59,51,2.5,9,Ativo
74,Corporativo,Pleno,Masculino,3.8,38,21,3.9,18,Ativo
75,Tributário,Júnior,Feminino,1.9,30,19,3.5,3,Ativo
76,Corporativo,Sênior,Não-binário,6.2,22,13,3.9,19%,Ativo
77,TRABALHISTA,Júnior,Masculino,1.0,37,24,2.3,6,Ativo
78,Trabalhista,Sócio,Não-binário,8.7,48,33,2.6,44,Ativo
79,Tributário,Pleno,Feminino,2.6,28,17,4.8,19,Ativo
80,Civil,Júnior,Não-binário,1.1,15,16,3.6,6,Ativo
81,Tributário,Júnior,Não-binário,1.9,32,24,4.8,7,Ativo
82,Trabalhista,Pleno,Masculino,3.3,35,32,2.6,20,Ativo
83,Tributário,Júnior,Não-binário,0.7,29,9,5.0,8,Ativo
84,Civil,Pleno,Masculino,3.8,36,5,3.2,16,Ativo
85,Trabalhista,Júnior,Masculino,"0,7",43,32,2.6,7,Ativo
86,Corporativo,Sênior,Masculino,7.2,27,13,,35,Ativo
87,Tributário,Pleno,Masculino,4.5,30,5,4.5,10,Ativo
88,Corporativo,Pleno,Fem,4.0,35,6,4.5,13,Ativo
89,Trabalhista,Pleno,Feminino,3.9,52,39,1.7,11,Desligado
90,Trabalhista,Sócio,Masculino,12.6,46,25,3.1,43,Ativo
91,,Pleno,Masculino,2.3,35,29,3.0,16,Ativo
92,Tributário,Sênior,Não-binário,5.2,33,25,3.5,19,Ativo
93,Civil,Júnior,Não-binário,2.0,26,,3.9,5,Ativo
94,Civil,Pleno,Não-binário,3.9,15,18,4.6,,Ativo
95,Tributário,Pleno,Masculino,3.9,29,9,3.9,18,Ativo
96,CORPORATIVO,Júnior,Não-binário,2.1,32,20,3.9,9,Ativo
97,Corporativo,Sócio,Masculino,"13,8",17,13,4.8,47,Ativo
98,Tributário,Júnior,Não-binário,1.6,27,15,3.1,5,Ativo
99,Trabalhista,Sênior,Masculino,5.2,43,30,2.5,31,Ativo
100,Corporativo,Sênior,Não-binário,4.5,21,7,3.5,21,Ativo
100,Corporativo,Sênior,Não-binário,4.5,21,7,3.5,21,Ativo
102,Tributário,Júnior,Feminino,0.5,22,17,4.4,4,Ativo
103,Corporativo,Pleno,Masculino,3.7,26,18,,18,Ativo
104,Corporativo,Júnior,Masculino,1.8,23,14,3.5,1,Ativo
105,Trabalhista,Júnior,Masculino,0.6,40,26,2.4,7,Ativo
106,Corporativo,Pleno,Não-binário,3.8,31,24,3.6,11,Ativo
107,Trabalhista,Sênior,Masculino,5.3,40,29,2.0,30,Ativo
108,Trabalhista,Sênior,Masculino,4.7,36,37,2.5,24,Ativo
109,Tributário,Júnior,Feminino,"2,2",33,14,3.9,7,Ativo
110,Corporativo,Pleno,Feminino,4.9,23,20,3.2,11,Ativo
111,Tributário,Sênior,Masculino,4.8,35,6,3.3,34,Ativo
112,Corporativo,Júnior,Feminino,2.5,18,22,4.5,9,Ativo
113,Trabalhista,Júnior,Não-binário,1.1,49,29,3.5,6,Ativo
114,Corporativo,Sócio,Não-binário,12.0,34,8,4.9,36,Ativo
115,TRABALHISTA,Sócio,Masculino,12.3,40,27,2.3,42,Ativo
116,Trabalhista,Pleno,Feminino,3.2,64,,55,13,Desligado
117,Corporativo,Pleno,Não-binário,2.8,29,7,4.4,14,Ativo
118,Trabalhista,Júnior,Masculino,0.6,42,24,3.6,2,Ativo
119,Civil,Júnior,Feminino,0.7,24,24,4.5,9,Ativo
120,Corporativo,Pleno,Masculino,2.4,37,14,,14,Ativo
121,Tributário,Sócio,Masculino,"7,6",16,18,4.5,59,Desligado
122,Corporativo,Sênior,Feminino,4.8,36,23,4.2,15,Ativo
123,Corporativo,Júnior,Não-binário,0.4,20,20,4.0,7,Desligado
124,Corporativo,Júnior,Feminino,2.5,28,25,4.6,1,Desligado
125,Tributário,Sócio,Masculino,10.3,25,8,4.7,,Ativo
126,Tributário,Júnior,Não-binário,1.4,36,17,4.6,8%,Ativo
127,Civil,Sócio,Masculino,7.7,23,15,3.2,52,Ativo
128,Civil,Júnior,Não-binário,2.2,29,18,3.1,8,Ativo
129,Corporativo,Sênior,Não-binário,7.1,35,19,4.5,18,Ativo
130,Corporativo,Pleno,Não-binário,2.4,24,19,4.8,17,Ativo
131,Civil,Pleno,Feminino,4.9,34,12,4.4,14,Desligado
132,Civil,Júnior,Não-binário,1.2,22,8,3.9,1,Ativo
133,Trabalhista,Sócio,Masculino,"14,5",44,36,3.3,53,Ativo
134,TRIBUTÁRIO,Sênior,Masculino,5.4,32,9,3.8,31,Ativo
135,Trabalhista,Júnior,Feminino,0.9,58,45,2.4,8,Ativo
136,,Pleno,Feminino,2.8,24,23,4.2,20,Ativo
137,Tributário,Sênior,Feminino,6.1,30,16,,23,Ativo
138,Tributário,Pleno,Masculino,4.8,21,12,4.1,13,Ativo
139,Tributário,Pleno,Feminino,3.0,30,,3.8,20,Ativo
140,Trabalhista,Sênior,Masculino,7.9,39,36,3.7,27,Ativo
141,Civil,Sócio,Masculino,7.8,29,5,4.4,53,Ativo
142,Trabalhista,Júnior,Feminino,1.3,53,45,1.9,6,Ativo
143,Civil,Pleno,Masculino,4.6,32,17,4.9,20,Ativo
144,Tributário,Júnior,Não-binário,0.4,17,12,4.3,4,Ativo
145,Trabalhista,Júnior,Não-binário,"0,5",38,23,2.8,4,Ativo
146,Civil,Júnior,Fem,1.0,16,14,3.7,6,Ativo
147,Trabalhista,Pleno,Feminino,3.6,63,40,1.3,11,Desligado
148,Tributário,Júnior,Não-binário,1.8,30,23,3.3,7,Ativo
149,Corporativo,Sênior,Masculino,5.4,15,19,4.8,32,Ativo
150,Trabalhista,Pleno,Feminino,3.3,56,53,1.4,16,Ativo
151,Corporativo,Jr.,Masculino,2.2,21,17,4.7,1%,Ativo
152,Trabalhista,Pleno,Masculino,3.7,44,29,2.0,20,Ativo
153,TRIBUTÁRIO,Sênior,Masculino,4.5,36,6,4.8,33,Desligado
154,Tributário,Pleno,Masculino,4.3,22,24,,13,Ativo
155,Trabalhista,Pleno,Não-binário,2.8,39,23,3.6,20,Ativo
156,Civil,Pleno,Masculino,4.4,16,23,3.7,,Ativo
157,Civil,Júnior,Masculino,"1,0",28,10,3.4,8,Desligado
158,Corporativo,Pleno,Não-binário,3.5,23,10,3.5,17,Ativo
159,Corporativo,Júnior,Não-binário,2.2,18,19,4.9,2,Ativo
160,Trabalhista,Júnior,Não-binário,1.9,47,37,2.7,6,Ativo
161,Civil,Pleno,Masculino,3.6,29,16,4.3,20,Ativo
162,Corporativo,Pleno,Não-binário,3.1,35,,3.2,13,Ativo
163,Tributário,Sênior,Feminino,6.7,32,15,4.8,18,Ativo
164,Civil,Pleno,Não-binário,4.5,37,14,4.3,11,Ativo
165,Trabalhista,Júnior,Feminino,2.4,54,50,1.2,3,Ativo
166,Trabalhista,Pleno,Masculino,3.4,48,38,3.3,12,Ativo
167,Tributário,Júnior,Não-binário,0.5,30,24,3.8,4,Ativo
168,Civil,Júnior,Não-binário,1.1,29,19,4.9,5,Ativo
169,Civil,Sênior,Não-binário,"5,8",35,16,3.1,19,Ativo
170,Trabalhista,Júnior,Feminino,2.4,59,37,2.0,10,Ativo
171,Civil,Júnior,Feminino,2.0,22,9,,3,Ativo
172,CIVIL,Júnior,Não-binário,0.8,21,12,3.7,2,Ativo
173,Civil,Pleno,Masculino,4.6,19,9,4.1,12,Ativo
174,Civil,Pleno,Não-binário,4.6,19,5,3.7,13,Ativo
175,Corporativo,Júnior,Fem,0.7,16,9,4.5,8,Ativo
176,Civil,Pleno,Não-binário,2.2,29,16,4.0,11%,Ativo
177,Tributário,Pleno,Não-binário,2.7,34,6,4.5,20,Ativo
178,Corporativo,Júnior,Masculino,1.7,15,6,5.0,6,Ativo
179,Tributário,Júnior,Não-binário,0.5,37,19,3.1,1,Ativo
180,Corporativo,Sênior,Não-binário,5.0,19,13,4.2,24,Ativo
181,,Pleno,Masculino,"5,0",31,14,3.9,19,Ativo
182,Tributário,Júnior,Feminino,2.0,18,25,4.3,8,Ativo
183,Trabalhista,Sócio,Masculino,10.6,42,33,2.6,54,Ativo
184,Tributário,Sócio,Masculino,12.8,25,18,3.6,48,Ativo
185,Corporativo,Júnior,Feminino,1.8,30,,3.2,1,Ativo
186,Civil,Júnior,Masculino,0.5,38,16,4.6,8,Ativo
187,Civil,Júnior,Não-binário,2.4,32,15,4.3,,Ativo
188,Corporativo,Júnior,Não-binário,2.4,28,6,,9,Ativo
189,Corporativo,Sênior,Masculino,4.9,31,11,3.3,29,Ativo
190,Trabalhista,Pleno,Feminino,3.1,62,46,1.2,14,Ativo
191,TRABALHISTA,Júnior,Masculino,2.2,35,28,2.1,4,Ativo
192,Corporativo,Pleno,Masculino,3.1,20,9,4.1,16,Ativo
193,Civil,Pleno,Feminino,"4,2",15,7,4.5,13,Ativo
194,Tributário,Júnior,Masculino,1.3,20,16,3.6,5,Ativo
195,Civil,Pleno,Feminino,2.5,34,6,4.3,14,Ativo
196,Tributário,Sócio,Não-binário,10.4,34,19,3.8,36,Ativo
197,Civil,Pleno,Masculino,3.3,24,23,4.0,20,Ativo
198,Corporativo,Júnior,Feminino,0.8,34,6,3.0,4,Desligado
199,Trabalhista,Sênior,Feminino,7.2,54,45,1.2,22,Desligado
200,Tributário,Pleno,Feminino,2.4,32,12,4.0,20,Ativo
200,Tributário,Pleno,Feminino,2.4,32,12,4.0,20,Ativo
202,Civil,Pleno,Masculino,3.7,33,17,4.4,16,Ativo
203,Corporativo,Júnior,Feminino,1.2,25,10,4.6,9,Ativo
204,Tributário,Júnior,Não-binário,2.3,17,18,4.7,3,Ativo
205,Tributário,Sênior,Não-binário,99,17,17,,20,Ativo
206,Trabalhista,Pleno,Masculino,4.3,37,36,3.1,18,Desligado
207,Trabalhista,Sócio,Masculino,9.8,39,27,2.2,48,Ativo
208,Trabalhista,Pleno,Feminino,3.8,65,,1.3,20,Desligado
209,Tributário,Júnior,Masculino,2.0,33,19,4.4,9,Ativo
210,CORPORATIVO,Pleno,Não-binário,2.9,29,7,3.9,20,Ativo
211,Corporativo,Sênior,Masculino,6.6,26,21,3.1,29,Ativo
212,Tributário,Júnior,Feminino,0.4,24,7,4.3,1,Ativo
213,Tributário,Júnior,Masculino,1.6,38,6,3.9,9,Ativo
214,Trabalhista,Pleno,Masculino,3.8,39,21,2.8,15,Ativo
215,Civil,Júnior,Não-binário,1.7,16,12,4.4,7,Ativo
216,Trabalhista,Júnior,Masculino,1.1,44,32,2.7,5,Ativo
217,Civil,Pleno,Não-binário,"3,9",17,15,3.2,20,Ativo
218,Tributário,Júnior,Masculino,0.9,36,24,4.7,,Ativo
219,Civil,Júnior,Não-binário,1.8,26,14,4.9,10,Ativo
220,Tributário,Pleno,Feminino,3.8,17,14,4.1,20,Ativo
221,Corporativo,Júnior,Feminino,1.8,38,21,3.2,10,Desligado
222,Tributário,Júnior,Não-binário,1.1,26,14,,3,Ativo
223,Corporativo,Sênior,Masculino,5.2,19,9,3.2,35,Desligado
224,Civil,Sócio,Não-binário,13.2,38,21,3.1,40,Ativo
225,Trabalhista,Júnior,Não-binário,1.1,40,25,3.5,9,Ativo
226,,Pleno,Não-binário,3.3,48,31,3.2,13%,Ativo
227,Tributário,Júnior,Não-binário,0.9,38,19,3.5,3,Ativo
228,Corporativo,Júnior,Masculino,2.3,21,16,4.4,9,Ativo
229,TRIBUTÁRIO,Júnior,Masculino,"2,0",27,21,4.1,2,Ativo
230,Trabalhista,Júnior,Não-binário,0.6,43,21,3.2,5,Ativo
231,Civil,Júnior,Não-binário,2.2,18,,3.2,2,Ativo
232,Corporativo,Sênior,Masculino,7.7,19,18,3.2,25,Ativo
233,Tributário,Sócio,Masc,14.4,28,6,3.8,51,Ativo
234,Trabalhista,Júnior,Masculino,2.5,46,27,2.1,1,Ativo
235,Corporativo,Júnior,Feminino,0.6,24,20,4.4,2,Desligado
236,Tributário,Júnior,Masculino,1.7,17,5,3.5,2,Desligado
237,Tributário,Júnior,Feminino,2.0,22,14,3.2,3,Ativo
238,Tributário,Pleno,Não-binário,4.4,29,7,3.2,17,Desligado
239,Civil,Júnior,Não-binário,1.4,22,9,,0,Ativo
240,Corporativo,Sênior,Feminino,6.5,20,7,4.0,20,Ativo
241,Civil,Pleno,Não-binário,"3,6",31,22,3.0,17,Ativo
242,Civil,Júnior,Não-binário,1.2,26,13,4.5,5,Ativo
243,Civil,Pleno,Masculino,2.7,36,25,3.2,19,Ativo
244,Corporativo,Júnior,Feminino,0.4,32,15,4.6,2,Ativo
245,Tributário,Sênior,Não-binário,6.2,20,9,3.1,22,Ativo
246,Civil,Pleno,Masculino,2.6,21,6,3.6,14,Ativo
247,Tributário,Júnior,Não-binário,1.3,16,25,3.4,5,Ativo
248,CIVIL,Júnior,Não-binário,1.0,18,16,3.9,6,Ativo
249,Tributário,Pleno,Masculino,3.0,20,20,4.4,,Ativo
250,Corporativo,Sócio,Feminino,12.8,17,18,4.2,35,Desligado
251,Corporativo,Sr.,Masculino,4.9,25,14,3.6,31%,Ativo
252,Tributário,Júnior,Feminino,1.8,26,19,3.1,5,Ativo
253,Tributário,Sênior,Masculino,"6,7",16,7,4.3,28,Ativo
254,Corporativo,Sênior,Não-binário,7.3,36,,4.9,17,Ativo
255,Tributário,Sênior,Feminino,4.9,22,25,3.7,21,Ativo
256,Civil,Pleno,Não-binário,2.5,29,16,,11,Ativo
257,Trabalhista,Sênior,Não-binário,5.8,45,28,2.4,16,Ativo
258,Civil,Júnior,Não-binário,0.7,31,17,4.8,1,Ativo
259,Corporativo,Pleno,Masculino,4.1,21,24,3.6,17,Ativo
260,Trabalhista,Sócio,Feminino,8.1,47,49,1.3,44,Ativo
261,Civil,Pleno,Não-binário,4.9,25,16,4.4,18,Ativo
262,Corporativo,Sócio,Masc,13.8,37,25,3.3,51,Ativo
263,Trabalhista,Pleno,Feminino,5.0,49,42,2.2,10,Desligado
264,Corporativo,Júnior,Não-binário,1.6,29,22,3.3,1,Ativo
265,Civil,Júnior,Masculino,"1,2",37,20,4.1,6,Ativo
266,Civil,Pleno,Feminino,4.9,35,7,3.9,20,Desligado
267,CORPORATIVO,Sócio,Feminino,14.0,32,25,4.2,34,Ativo
268,Tributário,Pleno,Não-binário,4.7,16,8,4.0,14,Desligado
269,Trabalhista,Pleno,Feminino,3.0,52,46,2.4,18,Ativo
270,Corporativo,Júnior,Feminino,0.9,35,22,3.5,10,Ativo
271,,Sênior,Não-binário,6.4,31,25,3.3,24,Ativo
272,Trabalhista,Júnior,Feminino,1.7,64,45,2.3,9,Ativo
273,Civil,Pleno,Feminino,2.2,35,23,,13,Ativo
274,Tributário,Júnior,Não-binário,1.7,30,25,4.1,10,Ativo
275,Corporativo,Pleno,Masculino,2.7,36,17,3.6,11,Ativo
276,Civil,Pleno,Feminino,3.3,30,19,3.4,19%,Ativo
277,Trabalhista,Pleno,Masculino,"4,6",45,,3.8,12,Ativo
278,Corporativo,Sênior,Não-binário,6.5,25,12,3.9,19,Ativo
279,Tributário,Júnior,Feminino,0.6,16,14,4.9,9,Ativo
280,Tributário,Pleno,Feminino,4.9,20,15,4.9,,Ativo
281,Trabalhista,Pleno,Feminino,3.5,61,49,1.7,14,Ativo
282,Tributário,Júnior,Feminino,0.5,27,21,3.9,3,Ativo
283,Trabalhista,Júnior,Não-binário,1.1,36,29,2.9,10,Ativo
284,Tributário,Pleno,Masculino,3.6,18,18,3.3,14,Ativo
285,Corporativo,Sócio,Masculino,9.9,27,6,4.1,46,Ativo
286,CORPORATIVO,Pleno,Não-binário,2.9,27,21,3.9,18,Ativo
287,Corporativo,Júnior,Não-binário,1.8,18,9,5.0,6,Ativo
288,Corporativo,Sócio,Masculino,11.5,26,9,3.4,56,Desligado
289,Tributário,Júnior,Não-binário,"0,4",16,9,4.4,7,Desligado
290,Tributário,Júnior,Feminino,1.6,31,9,,9,Ativo
291,Corporativo,Júnior,Fem,1.2,34,14,4.2,8,Desligado
292,Tributário,Júnior,Não-binário,1.5,30,5,3.7,10,Ativo
293,Civil,Pleno,Masculino,3.8,38,25,3.1,17,Ativo
294,Corporativo,Júnior,Não-binário,2.0,33,23,3.5,0,Ativo
295,Tributário,Júnior,Feminino,1.5,38,24,4.5,6,Ativo
296,Trabalhista,Júnior,Não-binário,0.8,38,26,2.0,5,Ativo
297,Tributário,Júnior,Feminino,1.2,21,18,4.0,9,Ativo
298,Tributário,Sênior,Não-binário,7.0,37,9,4.0,23,Ativo
299,Corporativo,Pleno,Não-binário,3.4,27,15,4.9,17,Ativo
300,Corporativo,Júnior,Não-binário,1.1,38,,4.6,4,Ativo
300,Corporativo,Júnior,Não-binário,1.1,38,,4.6,4,Ativo
302,Corporativo,Júnior,Não-binário,0.8,37,20,3.6,5,Ativo
303,Corporativo,Júnior,Masculino,0.6,36,22,3.8,6,Ativo
304,Corporativo,Júnior,Feminino,0.9,24,7,3.7,7,Ativo
305,CORPORATIVO,Pleno,Não-binário,3.4,21,22,3.5,18,Ativo
306,Corporativo,Júnior,Feminino,0.5,38,23,3.5,0,Ativo
307,Trabalhista,Pleno,Não-binário,2.7,38,33,,17,Ativo
308,Civil,Sênior,Não-binário,7.2,15,22,5.0,17,Desligado
309,Tributário,Júnior,Não-binário,2.4,30,20,4.3,4,Ativo
310,Corporativo,Sênior,Masculino,6.8,17,25,4.1,30,Ativo
311,Civil,Júnior,Feminino,1.2,20,6,5.0,,Ativo
312,Tributário,Júnior,Feminino,2.4,24,6,3.0,9,Ativo
313,Civil,Pleno,Masculino,"2,9",35,22,4.0,12,Ativo
314,Tributário,Pleno,Masculino,2.6,18,15,3.3,17,Ativo
315,Corporativo,Júnior,Não-binário,0.7,38,15,4.6,9,Ativo
316,,Pleno,Feminino,3.8,65,47,2.2,18,Desligado
317,Corporativo,Pleno,Feminino,3.2,18,10,5.0,17,Ativo
318,Corporativo,Júnior,Feminino,0.3,27,12,3.9,4,Ativo
319,Corporativo,Pleno,Masculino,3.7,33,5,3.5,15,Ativo
320,Trabalhista,Júnior,Fem,1.8,59,44,1.2,10,Desligado
321,Corporativo,Júnior,Não-binário,0.6,24,16,4.2,3,Ativo
322,Trabalhista,Júnior,Masculino,0.6,46,33,3.3,7,Ativo
323,Trabalhista,Júnior,Feminino,1.8,64,,1.8,8,Desligado
324,CORPORATIVO,Pleno,Feminino,4.8,18,6,,18,Ativo
325,Trabalhista,Pleno,Não-binário,"3,6",40,30,3.5,17,Ativo
326,Civil,Júnior,Não-binário,0.8,33,20,3.2,8%,Ativo
327,Tributário,Pleno,Feminino,3.4,31,18,3.9,10,Ativo
328,Tributário,Júnior,Não-binário,2.1,38,5,3.8,0,Ativo
329,Trabalhista,Júnior,Não-binário,0.5,48,31,3.3,8,Ativo
330,Civil,Pleno,Feminino,5.0,30,6,3.6,12,Ativo
331,Trabalhista,Júnior,Não-binário,2.5,48,31,3.8,6,Desligado
332,Tributário,Pleno,Masculino,3.1,36,22,3.3,15,Ativo
333,Civil,Júnior,Feminino,2.5,27,21,3.3,3,Ativo
334,Civil,Júnior,Feminino,2.5,29,22,3.8,6,Ativo
335,Trabalhista,Júnior,Feminino,1.3,49,43,1.3,1,Ativo
336,Civil,Júnior,Não-binário,1.2,15,12,3.4,1,Ativo
337,Civil,Júnior,Masculino,"1,6",37,6,3.5,0,Ativo
338,Tributário,Pleno,Masculino,2.7,21,6,3.3,14,Desligado
339,Trabalhista,Júnior,Não-binário,1.6,45,27,2.5,2,Ativo
340,Trabalhista,Sócio,Masculino,9.4,36,37,3.7,45,Ativo
341,Tributário,Pleno,Não-binário,3.5,850,25,,18,Ativo
342,Corporativo,Júnior,Não-binário,1.2,19,14,3.8,,Ativo
343,TRIBUTÁRIO,Sênior,Feminino,7.5,24,9,4.6,15,Ativo
344,Tributário,Pleno,Masculino,3.7,19,17,3.5,13,Ativo
345,Corporativo,Pleno,Não-binário,2.2,29,16,3.2,13,Ativo
346,Civil,Pleno,Masculino,3.1,34,,3.1,11,Ativo
347,Trabalhista,Pleno,Não-binário,4.2,41,35,2.4,15,Ativo
348,Corporativo,Júnior,Feminino,0.8,21,8,4.5,7,Ativo
349,Trabalhista,Júnior,Não-binário,"1,6",41,32,3.6,8,Ativo
350,Corporativo,Júnior,Masculino,1.1,32,25,3.7,4,Ativo
351,Corporativo,Pleno,Não-binário,4.6,29,8,4.6,17%,Ativo
352,Corporativo,Júnior,Feminino,1.1,28,6,4.1,3,Ativo
353,Trabalhista,Júnior,Feminino,0.9,63,53,2.1,4,Desligado
354,Trabalhista,Júnior,Feminino,1.0,57,53,2.3,7,Ativo
355,Corporativo,Júnior,Masculino,2.0,30,25,4.5,7,Ativo
356,Trabalhista,Pleno,Não-binário,4.4,40,24,3.3,17,Ativo
357,Trabalhista,Júnior,Não-binário,2.5,36,36,2.1,1,Desligado
358,Civil,Júnior,Feminino,1.2,35,12,,2,Desligado
359,Civil,Pleno,Feminino,3.5,26,6,4.2,20,Desligado
360,Tributário,Júnior,Não-binário,1.4,15,22,4.1,0,Ativo
361,,Sênior,Não-binário,"7,0",32,14,3.0,25,Ativo
362,TRIBUTÁRIO,Júnior,Feminino,0.5,18,21,3.3,3,Ativo
363,Corporativo,Pleno,Masculino,2.8,27,7,3.7,16,Ativo
364,Tributário,Júnior,Não-binário,0.8,37,12,3.6,1,Ativo
365,Civil,Júnior,Feminino,1.2,27,22,4.0,10,Ativo
366,Civil,Júnior,Não-binário,0.7,30,18,4.3,5,Ativo
367,Civil,Pleno,Não-binário,4.8,22,11,4.8,19,Ativo
368,Tributário,Pleno,Masculino,2.1,17,13,4.8,19,Ativo
369,Civil,Júnior,Feminino,2.3,25,,4.9,9,Ativo
370,Trabalhista,Júnior,Não-binário,2.1,37,29,2.3,3,Ativo
371,Tributário,Júnior,Não-binário,2.3,25,17,4.5,2,Ativo
372,Civil,Pleno,Não-binário,4.2,26,6,3.2,13,Ativo
373,Civil,Júnior,Masculino,"1,6",34,24,3.8,,Ativo
374,Civil,Júnior,Não-binário,0.9,29,20,3.5,8,Ativo
375,Tributário,Sócio,Masculino,8.5,33,17,,59,Ativo
